Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Platform=ProQuest; Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:18Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
