Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:39:38+00:00
Created_By	LibLynx LLC for Coherent Digital

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Canada Commons	Coherent Digital		Coherent Digital	coherentdigital:CANA_ALL	Searches_Regular	33	21	12
Canada Commons	Coherent Digital		Coherent Digital	coherentdigital:CANA_ALL	Total_Item_Investigations	143	54	89
Canada Commons	Coherent Digital		Coherent Digital	coherentdigital:CANA_ALL	Unique_Item_Investigations	80	25	55
Canada Commons	Coherent Digital		Coherent Digital	coherentdigital:CANA_ALL	Total_Item_Requests	42	19	23
Canada Commons	Coherent Digital		Coherent Digital	coherentdigital:CANA_ALL	Unique_Item_Requests	38	16	22
CRKN Collection	Coherent Digital		Coherent Digital	coherentdigital:CANA_CRKN	Searches_Regular	33	21	12
Perpetual Access	Coherent Digital		Coherent Digital	coherentdigital:CANA_PA	Searches_Regular	33	21	12
